T1TillID,T2TillID,T1OptrID,T2OptrID,T1POS,T2POS
11,12,2021,2323,1,2
11,12,2022,2324,1,2
11,12,2023,2325,1,2
11,12,2024,2326,1,2
11,12,2025,2327,1,2
11,12,2026,2328,1,2
11,12,2027,2329,1,2
11,12,2028,2330,1,2
11,12,2029,2331,1,2
11,12,2030,2332,1,2
11,12,2031,2333,1,2
11,12,2032,2334,1,2
11,12,2033,2335,1,2
11,12,2034,2336,1,2
11,12,2035,2337,1,2
11,12,2036,2338,1,2
11,12,2037,2339,1,2
11,12,2038,2340,1,2
11,12,2039,2341,1,2
11,12,2040,2342,1,2
11,12,2041,2343,1,2
11,12,2042,2344,1,2
11,12,2043,2345,1,2
11,12,2044,2346,1,2
11,12,2045,2347,1,2
11,12,2046,2348,1,2
11,12,2047,2349,1,2
11,12,2048,2350,1,2
11,12,2049,2351,1,2
11,12,2050,2352,1,2
11,12,2051,2353,1,2
11,12,2052,2354,1,2
11,12,2053,2355,1,2
11,12,2054,2356,1,2
11,12,2055,2357,1,2
11,12,2056,2358,1,2
11,12,2057,2359,1,2
11,12,2058,2360,1,2
11,12,2059,2361,1,2
11,12,2060,2362,1,2
11,12,2061,2363,1,2
11,12,2062,2364,1,2
11,12,2063,2365,1,2
11,12,2064,2366,1,2
11,12,2065,2367,1,2
11,12,2066,2368,1,2
11,12,2067,2369,1,2
11,12,2068,2370,1,2
11,12,2069,2371,1,2
11,12,2070,2372,1,2
11,12,2071,2373,1,2
11,12,2072,2374,1,2
11,12,2073,2375,1,2
11,12,2074,2376,1,2
11,12,2075,2377,1,2
11,12,2076,2378,1,2
11,12,2077,2379,1,2
11,12,2078,2380,1,2
11,12,2079,2381,1,2
11,12,2080,2382,1,2
11,12,2081,2383,1,2
11,12,2082,2384,1,2
11,12,2083,2385,1,2
11,12,2084,2386,1,2
11,12,2085,2387,1,2
11,12,2086,2388,1,2
11,12,2087,2389,1,2
11,12,2088,2390,1,2
11,12,2089,2391,1,2
11,12,2090,2392,1,2
11,12,2091,2393,1,2
11,12,2092,2394,1,2
11,12,2093,2395,1,2
11,12,2094,2396,1,2
11,12,2095,2397,1,2
11,12,2096,2398,1,2
11,12,2097,2399,1,2
11,12,2098,2400,1,2
11,12,2099,2401,1,2
11,12,2100,2402,1,2
11,12,2101,2403,1,2
11,12,2102,2404,1,2
11,12,2103,2405,1,2
11,12,2104,2406,1,2
11,12,2105,2407,1,2
11,12,2106,2408,1,2
11,12,2107,2409,1,2
11,12,2108,2410,1,2
11,12,2109,2411,1,2
11,12,2110,2412,1,2
11,12,2111,2413,1,2
11,12,2112,2414,1,2
11,12,2113,2415,1,2
11,12,2114,2416,1,2
11,12,2115,2417,1,2
11,12,2116,2418,1,2
11,12,2117,2419,1,2
11,12,2118,2420,1,2
11,12,2119,2421,1,2
11,12,2120,2422,1,2
11,12,2121,2423,1,2
11,12,2122,2424,1,2
